,DZD,AOA,ARS,AMD,AUD,EUR,AZN,BHD,BBD,BYN,EUR,BMD,BOB,BAM,BWP,BRL,BGN,CVE,KHR,XAF,CAD,KYD,XAF,CLP,CNY,COP,CDF,XAF,CRC,HRK,EUR,CZK,DKK,DOP,USD,EGP,USD,XAF,EUR,FJD,EUR,EUR,XAF,GEL,EUR,GHS,GIP,EUR,DKK,GTQ,GBP,GYD,HNL,HKD,HUF,ISK,INR,IDR,IQD,EUR,IMP,ILS,EUR,XOF,JMD,JPY,GBP,JOD,KZT,KES,KRW,EUR,KWD,KGS,LAK,EUR,LBP,LYD,CHF,EUR,EUR,MOP,MGA,MWK,MYR,MVR,EUR,MRU,MUR,MXN,MDL,MNT,EUR,MAD,MZN,MMK,NAD,EUR,NZD,NIO,NGN,MKD,NOK,OMR,PKR,"ILS, USD, and JOD",PAB  and USD,PGK,PYG,PEN,PHP,PLN,EUR,USD,QAR,RON,RUB,RWF,XCD,SAR,XOF,RSD,SGD,EUR,EUR,ZAR,EUR,LKR,SZL,SEK,CHF,TWD,TJS,TZS,THB,USD,TTD,TND,TRY,TMT,UGX,UAH,AED,GBP,USD,UYU,UZS,VEF,VND,ZMW,ZWD
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
XOF,DZDXOF,AOAXOF,ARSXOF,AMDXOF,AUDXOF,EURXOF,AZNXOF,BHDXOF,BBDXOF,BYNXOF,EURXOF,BMDXOF,BOBXOF,BAMXOF,BWPXOF,BRLXOF,BGNXOF,CVEXOF,KHRXOF,XAFXOF,CADXOF,KYDXOF,XAFXOF,CLPXOF,CNYXOF,COPXOF,CDFXOF,XAFXOF,CRCXOF,HRKXOF,EURXOF,CZKXOF,DKKXOF,DOPXOF,USDXOF,EGPXOF,USDXOF,XAFXOF,EURXOF,FJDXOF,EURXOF,EURXOF,XAFXOF,GELXOF,EURXOF,GHSXOF,GIPXOF,EURXOF,DKKXOF,GTQXOF,GBPXOF,GYDXOF,HNLXOF,HKDXOF,HUFXOF,ISKXOF,INRXOF,IDRXOF,IQDXOF,EURXOF,IMPXOF,ILSXOF,EURXOF,1,JMDXOF,JPYXOF,GBPXOF,JODXOF,KZTXOF,KESXOF,KRWXOF,EURXOF,KWDXOF,KGSXOF,LAKXOF,EURXOF,LBPXOF,LYDXOF,CHFXOF,EURXOF,EURXOF,MOPXOF,MGAXOF,MWKXOF,MYRXOF,MVRXOF,EURXOF,MRUXOF,MURXOF,MXNXOF,MDLXOF,MNTXOF,EURXOF,MADXOF,MZNXOF,MMKXOF,NADXOF,EURXOF,NZDXOF,NIOXOF,NGNXOF,MKDXOF,NOKXOF,OMRXOF,PKRXOF,"ILS, USD, and JODXOF",PAB  and USDXOF,PGKXOF,PYGXOF,PENXOF,PHPXOF,PLNXOF,EURXOF,USDXOF,QARXOF,RONXOF,RUBXOF,RWFXOF,XCDXOF,SARXOF,1,RSDXOF,SGDXOF,EURXOF,EURXOF,ZARXOF,EURXOF,LKRXOF,SZLXOF,SEKXOF,CHFXOF,TWDXOF,TJSXOF,TZSXOF,THBXOF,USDXOF,TTDXOF,TNDXOF,TRYXOF,TMTXOF,UGXXOF,UAHXOF,AEDXOF,GBPXOF,USDXOF,UYUXOF,UZSXOF,VEFXOF,VNDXOF,ZMWXOF,ZWDXOF
JMD,DZDJMD,AOAJMD,ARSJMD,AMDJMD,AUDJMD,EURJMD,AZNJMD,BHDJMD,BBDJMD,BYNJMD,EURJMD,BMDJMD,BOBJMD,BAMJMD,BWPJMD,BRLJMD,BGNJMD,CVEJMD,KHRJMD,XAFJMD,CADJMD,KYDJMD,XAFJMD,CLPJMD,CNYJMD,COPJMD,CDFJMD,XAFJMD,CRCJMD,HRKJMD,EURJMD,CZKJMD,DKKJMD,DOPJMD,USDJMD,EGPJMD,USDJMD,XAFJMD,EURJMD,FJDJMD,EURJMD,EURJMD,XAFJMD,GELJMD,EURJMD,GHSJMD,GIPJMD,EURJMD,DKKJMD,GTQJMD,GBPJMD,GYDJMD,HNLJMD,HKDJMD,HUFJMD,ISKJMD,INRJMD,IDRJMD,IQDJMD,EURJMD,IMPJMD,ILSJMD,EURJMD,XOFJMD,1,JPYJMD,GBPJMD,JODJMD,KZTJMD,KESJMD,KRWJMD,EURJMD,KWDJMD,KGSJMD,LAKJMD,EURJMD,LBPJMD,LYDJMD,CHFJMD,EURJMD,EURJMD,MOPJMD,MGAJMD,MWKJMD,MYRJMD,MVRJMD,EURJMD,MRUJMD,MURJMD,MXNJMD,MDLJMD,MNTJMD,EURJMD,MADJMD,MZNJMD,MMKJMD,NADJMD,EURJMD,NZDJMD,NIOJMD,NGNJMD,MKDJMD,NOKJMD,OMRJMD,PKRJMD,"ILS, USD, and JODJMD",PAB  and USDJMD,PGKJMD,PYGJMD,PENJMD,PHPJMD,PLNJMD,EURJMD,USDJMD,QARJMD,RONJMD,RUBJMD,RWFJMD,XCDJMD,SARJMD,XOFJMD,RSDJMD,SGDJMD,EURJMD,EURJMD,ZARJMD,EURJMD,LKRJMD,SZLJMD,SEKJMD,CHFJMD,TWDJMD,TJSJMD,TZSJMD,THBJMD,USDJMD,TTDJMD,TNDJMD,TRYJMD,TMTJMD,UGXJMD,UAHJMD,AEDJMD,GBPJMD,USDJMD,UYUJMD,UZSJMD,VEFJMD,VNDJMD,ZMWJMD,ZWDJMD
JPY,DZDJPY,AOAJPY,ARSJPY,AMDJPY,AUDJPY,EURJPY,AZNJPY,BHDJPY,BBDJPY,BYNJPY,EURJPY,BMDJPY,BOBJPY,BAMJPY,BWPJPY,BRLJPY,BGNJPY,CVEJPY,KHRJPY,XAFJPY,CADJPY,KYDJPY,XAFJPY,CLPJPY,CNYJPY,COPJPY,CDFJPY,XAFJPY,CRCJPY,HRKJPY,EURJPY,CZKJPY,DKKJPY,DOPJPY,USDJPY,EGPJPY,USDJPY,XAFJPY,EURJPY,FJDJPY,EURJPY,EURJPY,XAFJPY,GELJPY,EURJPY,GHSJPY,GIPJPY,EURJPY,DKKJPY,GTQJPY,GBPJPY,GYDJPY,HNLJPY,HKDJPY,HUFJPY,ISKJPY,INRJPY,IDRJPY,IQDJPY,EURJPY,IMPJPY,ILSJPY,EURJPY,XOFJPY,JMDJPY,1,GBPJPY,JODJPY,KZTJPY,KESJPY,KRWJPY,EURJPY,KWDJPY,KGSJPY,LAKJPY,EURJPY,LBPJPY,LYDJPY,CHFJPY,EURJPY,EURJPY,MOPJPY,MGAJPY,MWKJPY,MYRJPY,MVRJPY,EURJPY,MRUJPY,MURJPY,MXNJPY,MDLJPY,MNTJPY,EURJPY,MADJPY,MZNJPY,MMKJPY,NADJPY,EURJPY,NZDJPY,NIOJPY,NGNJPY,MKDJPY,NOKJPY,OMRJPY,PKRJPY,"ILS, USD, and JODJPY",PAB  and USDJPY,PGKJPY,PYGJPY,PENJPY,PHPJPY,PLNJPY,EURJPY,USDJPY,QARJPY,RONJPY,RUBJPY,RWFJPY,XCDJPY,SARJPY,XOFJPY,RSDJPY,SGDJPY,EURJPY,EURJPY,ZARJPY,EURJPY,LKRJPY,SZLJPY,SEKJPY,CHFJPY,TWDJPY,TJSJPY,TZSJPY,THBJPY,USDJPY,TTDJPY,TNDJPY,TRYJPY,TMTJPY,UGXJPY,UAHJPY,AEDJPY,GBPJPY,USDJPY,UYUJPY,UZSJPY,VEFJPY,VNDJPY,ZMWJPY,ZWDJPY
GBP,DZDGBP,AOAGBP,ARSGBP,AMDGBP,AUDGBP,EURGBP,AZNGBP,BHDGBP,BBDGBP,BYNGBP,EURGBP,BMDGBP,BOBGBP,BAMGBP,BWPGBP,BRLGBP,BGNGBP,CVEGBP,KHRGBP,XAFGBP,CADGBP,KYDGBP,XAFGBP,CLPGBP,CNYGBP,COPGBP,CDFGBP,XAFGBP,CRCGBP,HRKGBP,EURGBP,CZKGBP,DKKGBP,DOPGBP,USDGBP,EGPGBP,USDGBP,XAFGBP,EURGBP,FJDGBP,EURGBP,EURGBP,XAFGBP,GELGBP,EURGBP,GHSGBP,GIPGBP,EURGBP,DKKGBP,GTQGBP,1,GYDGBP,HNLGBP,HKDGBP,HUFGBP,ISKGBP,INRGBP,IDRGBP,IQDGBP,EURGBP,IMPGBP,ILSGBP,EURGBP,XOFGBP,JMDGBP,JPYGBP,1,JODGBP,KZTGBP,KESGBP,KRWGBP,EURGBP,KWDGBP,KGSGBP,LAKGBP,EURGBP,LBPGBP,LYDGBP,CHFGBP,EURGBP,EURGBP,MOPGBP,MGAGBP,MWKGBP,MYRGBP,MVRGBP,EURGBP,MRUGBP,MURGBP,MXNGBP,MDLGBP,MNTGBP,EURGBP,MADGBP,MZNGBP,MMKGBP,NADGBP,EURGBP,NZDGBP,NIOGBP,NGNGBP,MKDGBP,NOKGBP,OMRGBP,PKRGBP,"ILS, USD, and JODGBP",PAB  and USDGBP,PGKGBP,PYGGBP,PENGBP,PHPGBP,PLNGBP,EURGBP,USDGBP,QARGBP,RONGBP,RUBGBP,RWFGBP,XCDGBP,SARGBP,XOFGBP,RSDGBP,SGDGBP,EURGBP,EURGBP,ZARGBP,EURGBP,LKRGBP,SZLGBP,SEKGBP,CHFGBP,TWDGBP,TJSGBP,TZSGBP,THBGBP,USDGBP,TTDGBP,TNDGBP,TRYGBP,TMTGBP,UGXGBP,UAHGBP,AEDGBP,1,USDGBP,UYUGBP,UZSGBP,VEFGBP,VNDGBP,ZMWGBP,ZWDGBP
JOD,DZDJOD,AOAJOD,ARSJOD,AMDJOD,AUDJOD,EURJOD,AZNJOD,BHDJOD,BBDJOD,BYNJOD,EURJOD,BMDJOD,BOBJOD,BAMJOD,BWPJOD,BRLJOD,BGNJOD,CVEJOD,KHRJOD,XAFJOD,CADJOD,KYDJOD,XAFJOD,CLPJOD,CNYJOD,COPJOD,CDFJOD,XAFJOD,CRCJOD,HRKJOD,EURJOD,CZKJOD,DKKJOD,DOPJOD,USDJOD,EGPJOD,USDJOD,XAFJOD,EURJOD,FJDJOD,EURJOD,EURJOD,XAFJOD,GELJOD,EURJOD,GHSJOD,GIPJOD,EURJOD,DKKJOD,GTQJOD,GBPJOD,GYDJOD,HNLJOD,HKDJOD,HUFJOD,ISKJOD,INRJOD,IDRJOD,IQDJOD,EURJOD,IMPJOD,ILSJOD,EURJOD,XOFJOD,JMDJOD,JPYJOD,GBPJOD,1,KZTJOD,KESJOD,KRWJOD,EURJOD,KWDJOD,KGSJOD,LAKJOD,EURJOD,LBPJOD,LYDJOD,CHFJOD,EURJOD,EURJOD,MOPJOD,MGAJOD,MWKJOD,MYRJOD,MVRJOD,EURJOD,MRUJOD,MURJOD,MXNJOD,MDLJOD,MNTJOD,EURJOD,MADJOD,MZNJOD,MMKJOD,NADJOD,EURJOD,NZDJOD,NIOJOD,NGNJOD,MKDJOD,NOKJOD,OMRJOD,PKRJOD,"ILS, USD, and JODJOD",PAB  and USDJOD,PGKJOD,PYGJOD,PENJOD,PHPJOD,PLNJOD,EURJOD,USDJOD,QARJOD,RONJOD,RUBJOD,RWFJOD,XCDJOD,SARJOD,XOFJOD,RSDJOD,SGDJOD,EURJOD,EURJOD,ZARJOD,EURJOD,LKRJOD,SZLJOD,SEKJOD,CHFJOD,TWDJOD,TJSJOD,TZSJOD,THBJOD,USDJOD,TTDJOD,TNDJOD,TRYJOD,TMTJOD,UGXJOD,UAHJOD,AEDJOD,GBPJOD,USDJOD,UYUJOD,UZSJOD,VEFJOD,VNDJOD,ZMWJOD,ZWDJOD
KZT,DZDKZT,AOAKZT,ARSKZT,AMDKZT,AUDKZT,EURKZT,AZNKZT,BHDKZT,BBDKZT,BYNKZT,EURKZT,BMDKZT,BOBKZT,BAMKZT,BWPKZT,BRLKZT,BGNKZT,CVEKZT,KHRKZT,XAFKZT,CADKZT,KYDKZT,XAFKZT,CLPKZT,CNYKZT,COPKZT,CDFKZT,XAFKZT,CRCKZT,HRKKZT,EURKZT,CZKKZT,DKKKZT,DOPKZT,USDKZT,EGPKZT,USDKZT,XAFKZT,EURKZT,FJDKZT,EURKZT,EURKZT,XAFKZT,GELKZT,EURKZT,GHSKZT,GIPKZT,EURKZT,DKKKZT,GTQKZT,GBPKZT,GYDKZT,HNLKZT,HKDKZT,HUFKZT,ISKKZT,INRKZT,IDRKZT,IQDKZT,EURKZT,IMPKZT,ILSKZT,EURKZT,XOFKZT,JMDKZT,JPYKZT,GBPKZT,JODKZT,1,KESKZT,KRWKZT,EURKZT,KWDKZT,KGSKZT,LAKKZT,EURKZT,LBPKZT,LYDKZT,CHFKZT,EURKZT,EURKZT,MOPKZT,MGAKZT,MWKKZT,MYRKZT,MVRKZT,EURKZT,MRUKZT,MURKZT,MXNKZT,MDLKZT,MNTKZT,EURKZT,MADKZT,MZNKZT,MMKKZT,NADKZT,EURKZT,NZDKZT,NIOKZT,NGNKZT,MKDKZT,NOKKZT,OMRKZT,PKRKZT,"ILS, USD, and JODKZT",PAB  and USDKZT,PGKKZT,PYGKZT,PENKZT,PHPKZT,PLNKZT,EURKZT,USDKZT,QARKZT,RONKZT,RUBKZT,RWFKZT,XCDKZT,SARKZT,XOFKZT,RSDKZT,SGDKZT,EURKZT,EURKZT,ZARKZT,EURKZT,LKRKZT,SZLKZT,SEKKZT,CHFKZT,TWDKZT,TJSKZT,TZSKZT,THBKZT,USDKZT,TTDKZT,TNDKZT,TRYKZT,TMTKZT,UGXKZT,UAHKZT,AEDKZT,GBPKZT,USDKZT,UYUKZT,UZSKZT,VEFKZT,VNDKZT,ZMWKZT,ZWDKZT
KES,DZDKES,AOAKES,ARSKES,AMDKES,AUDKES,EURKES,AZNKES,BHDKES,BBDKES,BYNKES,EURKES,BMDKES,BOBKES,BAMKES,BWPKES,BRLKES,BGNKES,CVEKES,KHRKES,XAFKES,CADKES,KYDKES,XAFKES,CLPKES,CNYKES,COPKES,CDFKES,XAFKES,CRCKES,HRKKES,EURKES,CZKKES,DKKKES,DOPKES,USDKES,EGPKES,USDKES,XAFKES,EURKES,FJDKES,EURKES,EURKES,XAFKES,GELKES,EURKES,GHSKES,GIPKES,EURKES,DKKKES,GTQKES,GBPKES,GYDKES,HNLKES,HKDKES,HUFKES,ISKKES,INRKES,IDRKES,IQDKES,EURKES,IMPKES,ILSKES,EURKES,XOFKES,JMDKES,JPYKES,GBPKES,JODKES,KZTKES,1,KRWKES,EURKES,KWDKES,KGSKES,LAKKES,EURKES,LBPKES,LYDKES,CHFKES,EURKES,EURKES,MOPKES,MGAKES,MWKKES,MYRKES,MVRKES,EURKES,MRUKES,MURKES,MXNKES,MDLKES,MNTKES,EURKES,MADKES,MZNKES,MMKKES,NADKES,EURKES,NZDKES,NIOKES,NGNKES,MKDKES,NOKKES,OMRKES,PKRKES,"ILS, USD, and JODKES",PAB  and USDKES,PGKKES,PYGKES,PENKES,PHPKES,PLNKES,EURKES,USDKES,QARKES,RONKES,RUBKES,RWFKES,XCDKES,SARKES,XOFKES,RSDKES,SGDKES,EURKES,EURKES,ZARKES,EURKES,LKRKES,SZLKES,SEKKES,CHFKES,TWDKES,TJSKES,TZSKES,THBKES,USDKES,TTDKES,TNDKES,TRYKES,TMTKES,UGXKES,UAHKES,AEDKES,GBPKES,USDKES,UYUKES,UZSKES,VEFKES,VNDKES,ZMWKES,ZWDKES
KRW,DZDKRW,AOAKRW,ARSKRW,AMDKRW,AUDKRW,EURKRW,AZNKRW,BHDKRW,BBDKRW,BYNKRW,EURKRW,BMDKRW,BOBKRW,BAMKRW,BWPKRW,BRLKRW,BGNKRW,CVEKRW,KHRKRW,XAFKRW,CADKRW,KYDKRW,XAFKRW,CLPKRW,CNYKRW,COPKRW,CDFKRW,XAFKRW,CRCKRW,HRKKRW,EURKRW,CZKKRW,DKKKRW,DOPKRW,USDKRW,EGPKRW,USDKRW,XAFKRW,EURKRW,FJDKRW,EURKRW,EURKRW,XAFKRW,GELKRW,EURKRW,GHSKRW,GIPKRW,EURKRW,DKKKRW,GTQKRW,GBPKRW,GYDKRW,HNLKRW,HKDKRW,HUFKRW,ISKKRW,INRKRW,IDRKRW,IQDKRW,EURKRW,IMPKRW,ILSKRW,EURKRW,XOFKRW,JMDKRW,JPYKRW,GBPKRW,JODKRW,KZTKRW,KESKRW,1,EURKRW,KWDKRW,KGSKRW,LAKKRW,EURKRW,LBPKRW,LYDKRW,CHFKRW,EURKRW,EURKRW,MOPKRW,MGAKRW,MWKKRW,MYRKRW,MVRKRW,EURKRW,MRUKRW,MURKRW,MXNKRW,MDLKRW,MNTKRW,EURKRW,MADKRW,MZNKRW,MMKKRW,NADKRW,EURKRW,NZDKRW,NIOKRW,NGNKRW,MKDKRW,NOKKRW,OMRKRW,PKRKRW,"ILS, USD, and JODKRW",PAB  and USDKRW,PGKKRW,PYGKRW,PENKRW,PHPKRW,PLNKRW,EURKRW,USDKRW,QARKRW,RONKRW,RUBKRW,RWFKRW,XCDKRW,SARKRW,XOFKRW,RSDKRW,SGDKRW,EURKRW,EURKRW,ZARKRW,EURKRW,LKRKRW,SZLKRW,SEKKRW,CHFKRW,TWDKRW,TJSKRW,TZSKRW,THBKRW,USDKRW,TTDKRW,TNDKRW,TRYKRW,TMTKRW,UGXKRW,UAHKRW,AEDKRW,GBPKRW,USDKRW,UYUKRW,UZSKRW,VEFKRW,VNDKRW,ZMWKRW,ZWDKRW
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
KWD,DZDKWD,AOAKWD,ARSKWD,AMDKWD,AUDKWD,EURKWD,AZNKWD,BHDKWD,BBDKWD,BYNKWD,EURKWD,BMDKWD,BOBKWD,BAMKWD,BWPKWD,BRLKWD,BGNKWD,CVEKWD,KHRKWD,XAFKWD,CADKWD,KYDKWD,XAFKWD,CLPKWD,CNYKWD,COPKWD,CDFKWD,XAFKWD,CRCKWD,HRKKWD,EURKWD,CZKKWD,DKKKWD,DOPKWD,USDKWD,EGPKWD,USDKWD,XAFKWD,EURKWD,FJDKWD,EURKWD,EURKWD,XAFKWD,GELKWD,EURKWD,GHSKWD,GIPKWD,EURKWD,DKKKWD,GTQKWD,GBPKWD,GYDKWD,HNLKWD,HKDKWD,HUFKWD,ISKKWD,INRKWD,IDRKWD,IQDKWD,EURKWD,IMPKWD,ILSKWD,EURKWD,XOFKWD,JMDKWD,JPYKWD,GBPKWD,JODKWD,KZTKWD,KESKWD,KRWKWD,EURKWD,1,KGSKWD,LAKKWD,EURKWD,LBPKWD,LYDKWD,CHFKWD,EURKWD,EURKWD,MOPKWD,MGAKWD,MWKKWD,MYRKWD,MVRKWD,EURKWD,MRUKWD,MURKWD,MXNKWD,MDLKWD,MNTKWD,EURKWD,MADKWD,MZNKWD,MMKKWD,NADKWD,EURKWD,NZDKWD,NIOKWD,NGNKWD,MKDKWD,NOKKWD,OMRKWD,PKRKWD,"ILS, USD, and JODKWD",PAB  and USDKWD,PGKKWD,PYGKWD,PENKWD,PHPKWD,PLNKWD,EURKWD,USDKWD,QARKWD,RONKWD,RUBKWD,RWFKWD,XCDKWD,SARKWD,XOFKWD,RSDKWD,SGDKWD,EURKWD,EURKWD,ZARKWD,EURKWD,LKRKWD,SZLKWD,SEKKWD,CHFKWD,TWDKWD,TJSKWD,TZSKWD,THBKWD,USDKWD,TTDKWD,TNDKWD,TRYKWD,TMTKWD,UGXKWD,UAHKWD,AEDKWD,GBPKWD,USDKWD,UYUKWD,UZSKWD,VEFKWD,VNDKWD,ZMWKWD,ZWDKWD
KGS,DZDKGS,AOAKGS,ARSKGS,AMDKGS,AUDKGS,EURKGS,AZNKGS,BHDKGS,BBDKGS,BYNKGS,EURKGS,BMDKGS,BOBKGS,BAMKGS,BWPKGS,BRLKGS,BGNKGS,CVEKGS,KHRKGS,XAFKGS,CADKGS,KYDKGS,XAFKGS,CLPKGS,CNYKGS,COPKGS,CDFKGS,XAFKGS,CRCKGS,HRKKGS,EURKGS,CZKKGS,DKKKGS,DOPKGS,USDKGS,EGPKGS,USDKGS,XAFKGS,EURKGS,FJDKGS,EURKGS,EURKGS,XAFKGS,GELKGS,EURKGS,GHSKGS,GIPKGS,EURKGS,DKKKGS,GTQKGS,GBPKGS,GYDKGS,HNLKGS,HKDKGS,HUFKGS,ISKKGS,INRKGS,IDRKGS,IQDKGS,EURKGS,IMPKGS,ILSKGS,EURKGS,XOFKGS,JMDKGS,JPYKGS,GBPKGS,JODKGS,KZTKGS,KESKGS,KRWKGS,EURKGS,KWDKGS,1,LAKKGS,EURKGS,LBPKGS,LYDKGS,CHFKGS,EURKGS,EURKGS,MOPKGS,MGAKGS,MWKKGS,MYRKGS,MVRKGS,EURKGS,MRUKGS,MURKGS,MXNKGS,MDLKGS,MNTKGS,EURKGS,MADKGS,MZNKGS,MMKKGS,NADKGS,EURKGS,NZDKGS,NIOKGS,NGNKGS,MKDKGS,NOKKGS,OMRKGS,PKRKGS,"ILS, USD, and JODKGS",PAB  and USDKGS,PGKKGS,PYGKGS,PENKGS,PHPKGS,PLNKGS,EURKGS,USDKGS,QARKGS,RONKGS,RUBKGS,RWFKGS,XCDKGS,SARKGS,XOFKGS,RSDKGS,SGDKGS,EURKGS,EURKGS,ZARKGS,EURKGS,LKRKGS,SZLKGS,SEKKGS,CHFKGS,TWDKGS,TJSKGS,TZSKGS,THBKGS,USDKGS,TTDKGS,TNDKGS,TRYKGS,TMTKGS,UGXKGS,UAHKGS,AEDKGS,GBPKGS,USDKGS,UYUKGS,UZSKGS,VEFKGS,VNDKGS,ZMWKGS,ZWDKGS
LAK,DZDLAK,AOALAK,ARSLAK,AMDLAK,AUDLAK,EURLAK,AZNLAK,BHDLAK,BBDLAK,BYNLAK,EURLAK,BMDLAK,BOBLAK,BAMLAK,BWPLAK,BRLLAK,BGNLAK,CVELAK,KHRLAK,XAFLAK,CADLAK,KYDLAK,XAFLAK,CLPLAK,CNYLAK,COPLAK,CDFLAK,XAFLAK,CRCLAK,HRKLAK,EURLAK,CZKLAK,DKKLAK,DOPLAK,USDLAK,EGPLAK,USDLAK,XAFLAK,EURLAK,FJDLAK,EURLAK,EURLAK,XAFLAK,GELLAK,EURLAK,GHSLAK,GIPLAK,EURLAK,DKKLAK,GTQLAK,GBPLAK,GYDLAK,HNLLAK,HKDLAK,HUFLAK,ISKLAK,INRLAK,IDRLAK,IQDLAK,EURLAK,IMPLAK,ILSLAK,EURLAK,XOFLAK,JMDLAK,JPYLAK,GBPLAK,JODLAK,KZTLAK,KESLAK,KRWLAK,EURLAK,KWDLAK,KGSLAK,1,EURLAK,LBPLAK,LYDLAK,CHFLAK,EURLAK,EURLAK,MOPLAK,MGALAK,MWKLAK,MYRLAK,MVRLAK,EURLAK,MRULAK,MURLAK,MXNLAK,MDLLAK,MNTLAK,EURLAK,MADLAK,MZNLAK,MMKLAK,NADLAK,EURLAK,NZDLAK,NIOLAK,NGNLAK,MKDLAK,NOKLAK,OMRLAK,PKRLAK,"ILS, USD, and JODLAK",PAB  and USDLAK,PGKLAK,PYGLAK,PENLAK,PHPLAK,PLNLAK,EURLAK,USDLAK,QARLAK,RONLAK,RUBLAK,RWFLAK,XCDLAK,SARLAK,XOFLAK,RSDLAK,SGDLAK,EURLAK,EURLAK,ZARLAK,EURLAK,LKRLAK,SZLLAK,SEKLAK,CHFLAK,TWDLAK,TJSLAK,TZSLAK,THBLAK,USDLAK,TTDLAK,TNDLAK,TRYLAK,TMTLAK,UGXLAK,UAHLAK,AEDLAK,GBPLAK,USDLAK,UYULAK,UZSLAK,VEFLAK,VNDLAK,ZMWLAK,ZWDLAK
